"date","time","year","month","day","season","time_of_day","lat","lon","swell","beaufort","id","home_screen","effort","group","species","age","count","behaviour","distance_band","shag_plumage","note","species_nice_name"
2025-07-27,8H 48M 39S,2025,7,27,"winter","morning",-46.60509,168.35809,"0-0.5","1",NA,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_N",NA,NA,NA,"Buller's mollymawk"
2025-07-27,8H 50M 53S,2025,7,27,"winter","morning",-46.60509,168.35809,"0-0.5","1",NA,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_W",NA,NA,NA,"Buller's mollymawk"
2025-07-27,9H 50M 19S,2025,7,27,"winter","morning",-46.60767505,168.3640641,"0-0.5","1",7,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,9H 56M 7S,2025,7,27,"winter","morning",-46.63639,168.34385,"0-0.5","1",7,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_N",NA,NA,NA,"Buller's mollymawk"
2025-07-27,9H 57M 17S,2025,7,27,"winter","morning",-46.64294,168.33798,"0-0.5","1",7,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp",NA,1,"flying_N",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-27,9H 59M 59S,2025,7,27,"winter","morning",-46.65897,168.32336,"0-0.5","1",7,"seabirds",NA,"gull","gull_sp",NA,1,"flying_E",NA,NA,NA,"Unknown gull"
2025-07-27,10H 3M 49S,2025,7,27,"winter","morning",-46.68122,168.3032,"0-0.5","1",7,"seabirds",NA,"tern","white-fronted_tern",NA,1,"flying_N",NA,NA,NA,"White-fronted tern"
2025-07-27,10H 4M 33S,2025,7,27,"winter","morning",-46.68093,168.29982,"0-0.5","1",7,"seabirds",NA,"shag","stewart_island_shag",NA,1,"flying_E",NA,"bronze",NA,"Stewart Island shag"
2025-07-27,10H 5M 11S,2025,7,27,"winter","morning",-46.68878,168.29662,"0-0.5","1",7,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_E",NA,NA,NA,"Buller's mollymawk"
2025-07-27,10H 33M 3S,2025,7,27,"winter","morning",-46.85409,168.17905,"0-0.5","1",7,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"sitting_on_water",NA,NA,NA,"Buller's mollymawk"
2025-07-27,10H 34M 55S,2025,7,27,"winter","morning",-46.86495,168.16906,"0-0.5","1",7,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp",NA,1,"flying_E",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-27,10H 36M 12S,2025,7,27,"winter","morning",-46.87198,168.16253,"0-0.5","1",7,"seabirds",NA,"gull","red-billed_gull",NA,1,"flying_E",NA,NA,NA,"Red-billed gull"
