"date","id","year","month","day","season","time_of_day","time","lat","lon","swell","beaufort","home_screen","effort","age","species","species_nice_name","group","count","behaviour","distance_band","shag_plumage","scientific_name","dist_to_coast","dist_to_mainland","region_mainland","region_islands"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 51M 15S",-46.68463015,168.2992094,"0-0.5",2,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche bulleri",7020.00639306749,7020.00629967376,"Coastal","Offshore"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 55M 53S",-46.71050554,168.2768683,"0-0.5",2,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"sitting_on_water","50-100m",NA,"Thalassarche spp.",10323.1354210004,10323.1353275674,"Offshore","Offshore"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 56M 3S",-46.71138443,168.2762151,"0-0.5",2,"seabirds",NA,"dont_know","stewart_island_shag","Stewart Island shag","shag",1,"sitting_on_water","0-50m","bronze","Leucocarbo chalconotus",10432.5919484126,10432.5918549812,"Offshore","Offshore"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 59M 32S",-46.73178443,168.2618956,"0-0.5",2,"seabirds",NA,NA,"stewart_island_shag","Stewart Island shag","shag",1,"flying_E",NA,"pied","Leucocarbo chalconotus",9212.9579743657,12948.1948396915,"Offshore","Offshore"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","17H 10M 10S",-46.79433371,168.2211188,"0-0.5",2,"seabirds",NA,NA,"common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_E",NA,NA,"Pelecanoides urinatrix",2528.82890414184,9427.59477762397,"Offshore","Coastal"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","17H 26M 8S",-46.88485009,168.1520059,"0-0.5",2,"seabirds",NA,"dont_know","little_shag","Little shag","shag",1,"sitting_on_water","0-50m",NA,"Microcarbo melanoleucos",338.617600022745,338.617616044909,"Coastal","Coastal"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 28M 57S",-46.71638,168.28183,"0-0.5",1,"seabirds",NA,NA,"common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_N",NA,NA,"Pelecanoides urinatrix",10790.7568003534,10790.7567069434,"Offshore","Offshore"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 31M 20S",-46.70195,168.29214,"0-0.5",1,"seabirds",NA,NA,"common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_N",NA,NA,"Pelecanoides urinatrix",9015.9227213346,9015.92262800841,"Offshore","Offshore"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 31M 32S",-46.70076,168.29303,"0-0.5",1,"seabirds",NA,NA,"common_diving_petrel","Common diving petrel","diving_petrel",2,"flying_E",NA,NA,"Pelecanoides urinatrix",8868.79638789845,8868.7962945846,"Offshore","Offshore"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 37M 8S",-46.66797,168.3184,"0-0.5",1,"seabirds",NA,NA,"Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche spp.",4840.51610783971,4840.51601612351,"Coastal","Offshore"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 44M 20S",-46.6279,168.35256,"0-0.5",1,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche bulleri",616.926233404787,616.926106982819,"Coastal","Coastal"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 45M 39S",-46.62148,168.35765,"0-0.5",1,"seabirds",NA,NA,"white_fronted_tern","White-fronted tern","tern",1,"flying_W",NA,NA,"Sterna striata",346.978342192619,346.978371916993,"Coastal","Coastal"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 8M 17S",-46.84085,168.18843,"0-0.5",1,"seabirds",NA,NA,"black_shag","Black shag","shag",1,"flying_E",NA,NA,"Phalacrocorax carbo",1680.39253665258,4007.28584924001,"Coastal","Coastal"
"2025-07-27",6,2025,"July",27,"Winter","morning","8H 8M 31S",-46.83822,168.19041,"0-0.5",1,"seabirds",NA,NA,"stewart_island_shag","Stewart Island shag","shag",8,"flying_E",NA,"bronze","Leucocarbo chalconotus",1682.09645041374,4300.41196911926,"Coastal","Coastal"
"2025-07-27",7,2025,"July",27,"Winter","morning","9H 56M 7S",-46.63639,168.34385,"0-0.5",1,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche bulleri",1300.55381890131,1300.55387303149,"Coastal","Coastal"
